-2589-10-06,-28.1297,21.6297,54.9881,True,0.0000,31.8686,99.7963,73.6365,7.1092,72.3436,-0.2162,144.6841,77.7590,258.4418,-28.2528,88.8746,53.6767,69.3138,-10.8683,231.0466,61.5255,234.9097,5.8000,175.5906,38.8326,349.4435,-16.0099,-4237.5328
-2589-10-07,-29.1175,22.6175,54.9880,True,0.0000,43.8563,98.2167,73.3658,5.9364,72.2117,-1.4892,144.6966,77.7618,258.4451,-28.2642,88.8473,53.6363,69.0667,-12.2939,231.0759,61.4957,234.9159,5.7844,175.5904,38.8326,349.4435,-16.0099,-4269.1800
-2589-10-08,-30.1051,23.6051,54.9878,True,0.0000,55.6999,94.9218,73.0969,4.7694,72.0796,-2.1546,144.7238,77.7656,258.4483,-28.2750,88.8209,53.5975,68.8182,-13.7398,231.1055,61.4654,234.9222,5.7689,175.5902,38.8326,349.4435,-16.0099,-4300.8898
-2589-10-09,-31.0926,24.5926,54.9876,True,0.0000,67.3225,90.0622,72.8293,3.6125,71.9472,-2.8205,144.7658,77.7705,258.4513,-28.2853,88.7955,53.5603,68.5679,-15.2025,231.1356,61.4346,234.9286,5.7536,175.5900,38.8325,349.4435,-16.0099,-4332.6708
-2589-10-10,-32.0799,25.5799,54.9874,True,0.0000,78.2590,83.8126,72.5629,2.4732,71.8145,-3.4868,144.8227,77.7765,258.4543,-28.2951,88.7710,53.5248,68.3153,-16.6791,231.1662,61.4033,234.9351,5.7384,175.5898,38.8325,349.4436,-16.0100,-4364.5318
-2589-10-11,-33.0668,26.5668,54.9873,True,0.0000,83.2187,76.3624,72.2975,1.3656,71.6813,-4.1536,144.8943,77.7835,258.4571,-28.3044,88.7475,53.4908,68.0598,-18.1672,231.1972,61.3715,234.9416,5.7234,175.5896,38.8325,349.4436,-16.0100,-4396.4817
-2589-10-12,-34.0536,27.5536,54.9871,True,0.0000,74.4339,67.9132,72.0327,0.3126,71.5478,-4.8209,144.9809,77.7915,258.4598,-28.3132,88.7250,53.4585,67.8009,-19.6647,231.2286,61.3393,234.9482,5.7086,175.5894,38.8324,349.4436,-16.0100,-4428.5298
-2589-10-13,-35.0399,28.5399,54.9869,True,0.0000,62.8589,58.6828,71.7684,-1.3872,71.4138,-5.4887,145.0824,77.8006,258.4624,-28.3214,88.7034,53.4278,67.5380,-21.1699,231.2604,61.3066,234.9548,5.6939,175.5892,38.8324,349.4437,-16.0101,-4460.6853
-2589-10-14,-36.0259,29.5259,54.9867,True,0.0000,50.6812,48.9188,71.5043,-2.5886,71.2793,-6.1570,145.1989,77.8107,258.4649,-28.3291,88.6828,53.3987,67.2705,-22.6813,231.2925,61.2734,234.9615,5.6794,175.5890,38.8324,349.4437,-16.0101,-4492.9575
-2589-10-15,-37.0115,30.5115,54.9865,True,0.0000,38.0903,38.9185,71.2403,-3.7909,71.1443,-6.8257,145.3304,77.8218,258.4672,-28.3363,88.6631,53.3714,66.9977,-24.1976,231.3250,61.2398,234.9682,5.6651,175.5888,38.8324,349.4437,-16.0102,-4525.3560
-2589-10-16,-37.9965,31.4965,54.9864,True,0.0000,25.0912,29.0525,70.9759,-4.9941,71.0088,-7.4948,145.4770,77.8338,258.4694,-28.3429,88.6444,53.3457,66.7188,-25.7178,231.3579,61.2058,234.9750,5.6510,175.5886,38.8324,349.4438,-16.0102,-4557.8904
-2589-10-17,-38.9810,32.4810,54.9862,True,0.0000,11.6851,19.7832,70.7111,-6.1981,70.8726,-8.1644,145.6387,77.8468,258.4714,-28.3490,88.6266,53.3217,66.4332,-27.2411,231.3911,61.1714,234.9818,5.6371,175.5884,38.8323,349.4438,-16.0103,-4590.5700
-2589-10-18,-39.9648,33.4648,54.9860,True,0.0000,-2.2732,11.6657,70.4455,-7.4030,70.7358,-8.8344,145.8155,77.8607,258.4733,-28.3546,88.6099,53.2995,66.1398,-28.7667,231.4246,61.1366,234.9886,5.6234,175.5882,38.8323,349.4438,-16.0104,-4623.4044
-2589-10-19,-40.9479,34.4479,54.9859,True,0.0000,-16.5526,5.3145,70.1790,-8.6085,70.5983,-9.5049,146.0075,77.8755,258.4751,-28.3596,88.5941,53.2789,65.8380,-30.2941,231.4583,61.1014,234.9955,5.6099,175.5880,38.8323,349.4438,-16.0104,-4656.4027
-2589-10-20,-41.9270,35.4270,54.9893,True,0.0000,-31.1367,1.3238,69.9135,-9.8113,70.4624,-10.1723,146.2308,77.8931,258.4785,-28.3676,88.5812,53.2637,65.5295,-31.8195,231.4985,61.0630,235.0047,5.5937,175.5928,38.8325,349.4469,-16.0111,-4689.0212
-2589-10-21,-42.9084,36.4084,54.9891,True,0.0000,-45.8872,0.1505,69.6442,-11.0181,70.3235,-10.8436,146.4532,77.9094,258.4800,-28.3715,88.5674,53.2465,65.2076,-33.3492,231.5328,61.0271,235.0117,5.5806,175.5926,38.8325,349.4469,-16.0112,-4722.3705
-2589-10-22,-43.8887,37.3887,54.9890,True,0.0000,-60.5820,1.9959,69.3732,-12.2253,70.1837,-11.5152,146.6907,77.9265,258.4815,-28.3748,88.5546,53.2312,64.8738,-34.8794,231.5673,60.9909,235.0187,5.5678,175.5924,38.8324,349.4470,-16.0112,-4755.9109
-2589-10-23,-44.8679,38.3679,54.9888,True,0.0000,-74.7351,6.7400,69.1002,-13.4330,70.0431,-12.1872,146.9434,77.9444,258.4827,-28.3776,88.5427,53.2175,64.5269,-36.4101,231.6020,60.9544,235.0258,5.5551,175.5923,38.8324,349.4470,-16.0112,-4789.6523
-2589-10-24,-45.8458,39.3458,54.9886,True,0.0000,-83.6568,13.9630,68.8249,-14.6411,69.9016,-12.8596,147.2110,77.9628,258.4839,-28.3798,88.5318,53.2056,64.1655,-37.9409,231.6370,60.9176,235.0329,5.5427,175.5921,38.8323,349.4470,-16.0113,-4823.6054
-2589-10-25,-46.8223,40.3223,54.9884,True,0.0000,-73.7428,23.0447,68.5470,-15.8495,69.7592,-13.5323,147.4937,77.9819,258.4849,-28.3814,88.5219,53.1954,63.7879,-39.4718,231.6721,60.8805,235.0400,5.5306,175.5919,38.8323,349.4470,-16.0113,-4857.7816
